dataset,AutoML4Clust,Autocluster,ML2DAC,cSmartML
dim53-clusters20-instances350-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius3-imbalance2-rep1,1.5680570881090028,1.5744875002745617,1.5519264920572082,1.5916752907985587
dim53-clusters4-instances3000-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius5-imbalance1-rep3,3.0184441722059634,1.685188493717687,3.947273186355509,
dim54-clusters11-instances1750-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius1-imbalance1-rep3,1.5582643394120481,1.7235277785672825,1.3109012429580125,1.7314897939592937
dim54-clusters13-instances1750-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius1-imbalance1-rep1,1.711711469168494,1.8256936622149524,1.199103663903694,1.2645670211350957
dim54-clusters18-instances2250-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius5-imbalance1-rep4,1.8397052562772238,1.228007006954594,2.758992153880881,1.6763612319225865
dim54-clusters18-instances3000-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius3-imbalance2-rep3,1.7229233113261502,1.9033381999340966,1.6393721186600605,1.831555528606804
dim54-clusters18-instances3000-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius5-imbalance1-rep4,2.7909235950870355,2.146943761417776,0.926793110794598,1.38072749892997
dim54-clusters2-instances200-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius3-imbalance2-rep2,2.953916118352569,3.527050650910377,2.571869002428871,
dim54-clusters8-instances200-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius3-imbalance2-rep3,1.7233326319742632,1.655901996316671,1.796831013991662,1.9543503744793365
dim70-clusters13-instances4500-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius5-imbalance2-rep1,1.8176808153122488,1.1183982243526303,3.746043102805901,1.2819357621765048
dim70-clusters15-instances400-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius3-imbalance1-rep1,1.867676071087041,1.6588137198312016,1.20048672312797,1.9170253710666592
dim70-clusters19-instances3500-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius5-imbalance1-rep2,2.857616644552759,2.424395995328229,1.4820374850333555,
dim70-clusters21-instances4000-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius1-imbalance1-rep4,2.0147888097059488,1.0411277874989293,0.9516662433058262,1.1305893316920326
dim71-clusters11-instances2250-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius1-imbalance1-rep1,2.6980136237654953,1.8493760098192935,1.997989344241701,1.8953081252001984
dim71-clusters19-instances600-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius1-imbalance1-rep1,2.4366458929667614,1.4787142916786151,2.292364797199598,1.517230648101983
dim71-clusters2-instances2000-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius5-imbalance1-rep2,5.350298640986786,2.03703556507616,2.537001376717458,1.2554612630035942
dim71-clusters5-instances2250-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius1-imbalance2-rep1,2.0099396755122942,2.2600980275504243,1.9210120994139488,2.2330993718545837
dim71-clusters6-instances2500-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius3-imbalance2-rep2,3.674281892998774,4.819464256536649,1.9801240991900544,
dim71-clusters7-instances2500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius1-imbalance1-rep2,2.867508458579797,1.9670116752304878,1.857372070977725,1.8517811005177516
dim99-clusters10-instances200-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius3-imbalance2-rep3,1.9248288032311,3.514138585061043,2.2202167686913503,1.2669948320903497
dim99-clusters10-instances3500-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius3-imbalance2-rep1,3.3698717669736347,2.1888971881601713,3.478857718577038,2.5447131445636524
dim99-clusters15-instances450-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius1-imbalance2-rep3,2.0294525420790093,1.214853599941179,2.6288694666925227,2.162723382725421
dim99-clusters18-instances1750-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius3-imbalance1-rep1,3.398237301471819,2.623427257995272,2.937128062064011,2.354629367400274
